"","OTU_ID","variable","abundance"
"1","Otu00001","MI_001_H",238
"2","Otu00002","MI_001_H",547
"3","Otu00003","MI_001_H",33
"4","Otu00004","MI_001_H",20
"5","Otu00005","MI_001_H",276
"6","Otu00006","MI_001_H",355
"7","Otu00007","MI_001_H",476
"8","Otu00008","MI_001_H",240
"9","Otu00009","MI_001_H",2
"10","Otu00010","MI_001_H",456
"11","Otu00011","MI_001_H",178
"12","Otu00012","MI_001_H",332
"13","Otu00013","MI_001_H",33
"14","Otu00014","MI_001_H",119
"15","Otu00015","MI_001_H",0
"16","Otu00016","MI_001_H",0
"17","Otu00017","MI_001_H",311
"18","Otu00018","MI_001_H",958
"19","Otu00019","MI_001_H",0
"20","Otu00020","MI_001_H",353
"21","Otu00001","MI_002_H",67
"22","Otu00002","MI_002_H",3
"23","Otu00003","MI_002_H",44
"24","Otu00004","MI_002_H",1147
"25","Otu00005","MI_002_H",18
"26","Otu00006","MI_002_H",3893
"27","Otu00007","MI_002_H",217
"28","Otu00008","MI_002_H",730
"29","Otu00009","MI_002_H",36
"30","Otu00010","MI_002_H",32
"31","Otu00011","MI_002_H",1406
"32","Otu00012","MI_002_H",748
"33","Otu00013","MI_002_H",44
"34","Otu00014","MI_002_H",48
"35","Otu00015","MI_002_H",0
"36","Otu00016","MI_002_H",112
"37","Otu00017","MI_002_H",81
"38","Otu00018","MI_002_H",0
"39","Otu00019","MI_002_H",36
"40","Otu00020","MI_002_H",20
"41","Otu00001","MI_003_H",12
"42","Otu00002","MI_003_H",86
"43","Otu00003","MI_003_H",3141
"44","Otu00004","MI_003_H",35
"45","Otu00005","MI_003_H",520
"46","Otu00006","MI_003_H",0
"47","Otu00007","MI_003_H",3024
"48","Otu00008","MI_003_H",951
"49","Otu00009","MI_003_H",713
"50","Otu00010","MI_003_H",135
"51","Otu00011","MI_003_H",0
"52","Otu00012","MI_003_H",0
"53","Otu00013","MI_003_H",137
"54","Otu00014","MI_003_H",19
"55","Otu00015","MI_003_H",0
"56","Otu00016","MI_003_H",59
"57","Otu00017","MI_003_H",856
"58","Otu00018","MI_003_H",482
"59","Otu00019","MI_003_H",1
"60","Otu00020","MI_003_H",1189
"61","Otu00001","MI_006_H",0
"62","Otu00002","MI_006_H",0
"63","Otu00003","MI_006_H",1035
"64","Otu00004","MI_006_H",9
"65","Otu00005","MI_006_H",251
"66","Otu00006","MI_006_H",365
"67","Otu00007","MI_006_H",1188
"68","Otu00008","MI_006_H",385
"69","Otu00009","MI_006_H",6
"70","Otu00010","MI_006_H",509
"71","Otu00011","MI_006_H",1089
"72","Otu00012","MI_006_H",277
"73","Otu00013","MI_006_H",1009
"74","Otu00014","MI_006_H",151
"75","Otu00015","MI_006_H",78
"76","Otu00016","MI_006_H",123
"77","Otu00017","MI_006_H",458
"78","Otu00018","MI_006_H",236
"79","Otu00019","MI_006_H",44
"80","Otu00020","MI_006_H",19
"81","Otu00001","MI_007_H",0
"82","Otu00002","MI_007_H",299
"83","Otu00003","MI_007_H",968
"84","Otu00004","MI_007_H",12
"85","Otu00005","MI_007_H",1222
"86","Otu00006","MI_007_H",0
"87","Otu00007","MI_007_H",677
"88","Otu00008","MI_007_H",1112
"89","Otu00009","MI_007_H",13
"90","Otu00010","MI_007_H",63
"91","Otu00011","MI_007_H",0
"92","Otu00012","MI_007_H",172
"93","Otu00013","MI_007_H",2
"94","Otu00014","MI_007_H",726
"95","Otu00015","MI_007_H",136
"96","Otu00016","MI_007_H",67
"97","Otu00017","MI_007_H",314
"98","Otu00018","MI_007_H",33
"99","Otu00019","MI_007_H",215
"100","Otu00020","MI_007_H",40
"101","Otu00001","MI_008_H1",190
"102","Otu00002","MI_008_H1",130
"103","Otu00003","MI_008_H1",1204
"104","Otu00004","MI_008_H1",3134
"105","Otu00005","MI_008_H1",1000
"106","Otu00006","MI_008_H1",9
"107","Otu00007","MI_008_H1",96
"108","Otu00008","MI_008_H1",340
"109","Otu00009","MI_008_H1",62
"110","Otu00010","MI_008_H1",193
"111","Otu00011","MI_008_H1",1
"112","Otu00012","MI_008_H1",30
"113","Otu00013","MI_008_H1",419
"114","Otu00014","MI_008_H1",51
"115","Otu00015","MI_008_H1",4
"116","Otu00016","MI_008_H1",771
"117","Otu00017","MI_008_H1",192
"118","Otu00018","MI_008_H1",1428
"119","Otu00019","MI_008_H1",0
"120","Otu00020","MI_008_H1",811
"121","Otu00001","MI_009_H",227
"122","Otu00002","MI_009_H",66
"123","Otu00003","MI_009_H",2011
"124","Otu00004","MI_009_H",5
"125","Otu00005","MI_009_H",37
"126","Otu00006","MI_009_H",385
"127","Otu00007","MI_009_H",267
"128","Otu00008","MI_009_H",4869
"129","Otu00009","MI_009_H",69
"130","Otu00010","MI_009_H",1138
"131","Otu00011","MI_009_H",159
"132","Otu00012","MI_009_H",2
"133","Otu00013","MI_009_H",4
"134","Otu00014","MI_009_H",48
"135","Otu00015","MI_009_H",2
"136","Otu00016","MI_009_H",286
"137","Otu00017","MI_009_H",145
"138","Otu00018","MI_009_H",2548
"139","Otu00019","MI_009_H",53
"140","Otu00020","MI_009_H",125
"141","Otu00001","MI_010_H",190
"142","Otu00002","MI_010_H",1124
"143","Otu00003","MI_010_H",1748
"144","Otu00004","MI_010_H",32
"145","Otu00005","MI_010_H",1039
"146","Otu00006","MI_010_H",13
"147","Otu00007","MI_010_H",185
"148","Otu00008","MI_010_H",185
"149","Otu00009","MI_010_H",11
"150","Otu00010","MI_010_H",459
"151","Otu00011","MI_010_H",3
"152","Otu00012","MI_010_H",185
"153","Otu00013","MI_010_H",359
"154","Otu00014","MI_010_H",1179
"155","Otu00015","MI_010_H",0
"156","Otu00016","MI_010_H",121
"157","Otu00017","MI_010_H",468
"158","Otu00018","MI_010_H",261
"159","Otu00019","MI_010_H",148
"160","Otu00020","MI_010_H",1183
"161","Otu00001","MI_011_H",0
"162","Otu00002","MI_011_H",1
"163","Otu00003","MI_011_H",374
"164","Otu00004","MI_011_H",1656
"165","Otu00005","MI_011_H",152
"166","Otu00006","MI_011_H",98
"167","Otu00007","MI_011_H",5155
"168","Otu00008","MI_011_H",761
"169","Otu00009","MI_011_H",2
"170","Otu00010","MI_011_H",25
"171","Otu00011","MI_011_H",2
"172","Otu00012","MI_011_H",18
"173","Otu00013","MI_011_H",86
"174","Otu00014","MI_011_H",262
"175","Otu00015","MI_011_H",0
"176","Otu00016","MI_011_H",36
"177","Otu00017","MI_011_H",324
"178","Otu00018","MI_011_H",0
"179","Otu00019","MI_011_H",0
"180","Otu00020","MI_011_H",1585
"181","Otu00001","MI_012_H",55
"182","Otu00002","MI_012_H",131
"183","Otu00003","MI_012_H",1032
"184","Otu00004","MI_012_H",18
"185","Otu00005","MI_012_H",837
"186","Otu00006","MI_012_H",178
"187","Otu00007","MI_012_H",32
"188","Otu00008","MI_012_H",5946
"189","Otu00009","MI_012_H",28
"190","Otu00010","MI_012_H",199
"191","Otu00011","MI_012_H",0
"192","Otu00012","MI_012_H",1
"193","Otu00013","MI_012_H",0
"194","Otu00014","MI_012_H",151
"195","Otu00015","MI_012_H",0
"196","Otu00016","MI_012_H",129
"197","Otu00017","MI_012_H",307
"198","Otu00018","MI_012_H",0
"199","Otu00019","MI_012_H",0
"200","Otu00020","MI_012_H",172
"201","Otu00001","MI_013_H",84
"202","Otu00002","MI_013_H",782
"203","Otu00003","MI_013_H",66
"204","Otu00004","MI_013_H",841
"205","Otu00005","MI_013_H",26
"206","Otu00006","MI_013_H",1026
"207","Otu00007","MI_013_H",94
"208","Otu00008","MI_013_H",50
"209","Otu00009","MI_013_H",0
"210","Otu00010","MI_013_H",0
"211","Otu00011","MI_013_H",996
"212","Otu00012","MI_013_H",1153
"213","Otu00013","MI_013_H",447
"214","Otu00014","MI_013_H",20
"215","Otu00015","MI_013_H",512
"216","Otu00016","MI_013_H",83
"217","Otu00017","MI_013_H",190
"218","Otu00018","MI_013_H",384
"219","Otu00019","MI_013_H",177
"220","Otu00020","MI_013_H",114
"221","Otu00001","MI_014_H",8
"222","Otu00002","MI_014_H",217
"223","Otu00003","MI_014_H",3460
"224","Otu00004","MI_014_H",131
"225","Otu00005","MI_014_H",185
"226","Otu00006","MI_014_H",681
"227","Otu00007","MI_014_H",3
"228","Otu00008","MI_014_H",859
"229","Otu00009","MI_014_H",813
"230","Otu00010","MI_014_H",323
"231","Otu00011","MI_014_H",5
"232","Otu00012","MI_014_H",48
"233","Otu00013","MI_014_H",438
"234","Otu00014","MI_014_H",223
"235","Otu00015","MI_014_H",171
"236","Otu00016","MI_014_H",230
"237","Otu00017","MI_014_H",56
"238","Otu00018","MI_014_H",595
"239","Otu00019","MI_014_H",0
"240","Otu00020","MI_014_H",380
"241","Otu00001","MI_015_H",46
"242","Otu00002","MI_015_H",423
"243","Otu00003","MI_015_H",28
"244","Otu00004","MI_015_H",3
"245","Otu00005","MI_015_H",104
"246","Otu00006","MI_015_H",1
"247","Otu00007","MI_015_H",2792
"248","Otu00008","MI_015_H",158
"249","Otu00009","MI_015_H",11
"250","Otu00010","MI_015_H",12
"251","Otu00011","MI_015_H",1085
"252","Otu00012","MI_015_H",791
"253","Otu00013","MI_015_H",2121
"254","Otu00014","MI_015_H",13
"255","Otu00015","MI_015_H",518
"256","Otu00016","MI_015_H",140
"257","Otu00017","MI_015_H",488
"258","Otu00018","MI_015_H",866
"259","Otu00019","MI_015_H",1084
"260","Otu00020","MI_015_H",13
"261","Otu00001","MI_016_H",53
"262","Otu00002","MI_016_H",0
"263","Otu00003","MI_016_H",713
"264","Otu00004","MI_016_H",596
"265","Otu00005","MI_016_H",33
"266","Otu00006","MI_016_H",289
"267","Otu00007","MI_016_H",4839
"268","Otu00008","MI_016_H",1185
"269","Otu00009","MI_016_H",2
"270","Otu00010","MI_016_H",2
"271","Otu00011","MI_016_H",3
"272","Otu00012","MI_016_H",210
"273","Otu00013","MI_016_H",9
"274","Otu00014","MI_016_H",65
"275","Otu00015","MI_016_H",0
"276","Otu00016","MI_016_H",0
"277","Otu00017","MI_016_H",130
"278","Otu00018","MI_016_H",2618
"279","Otu00019","MI_016_H",29
"280","Otu00020","MI_016_H",497
"281","Otu00001","MI_017_H",243
"282","Otu00002","MI_017_H",1305
"283","Otu00003","MI_017_H",2202
"284","Otu00004","MI_017_H",7
"285","Otu00005","MI_017_H",132
"286","Otu00006","MI_017_H",486
"287","Otu00007","MI_017_H",2170
"288","Otu00008","MI_017_H",2466
"289","Otu00009","MI_017_H",22
"290","Otu00010","MI_017_H",64
"291","Otu00011","MI_017_H",8
"292","Otu00012","MI_017_H",76
"293","Otu00013","MI_017_H",326
"294","Otu00014","MI_017_H",63
"295","Otu00015","MI_017_H",0
"296","Otu00016","MI_017_H",53
"297","Otu00017","MI_017_H",75
"298","Otu00018","MI_017_H",3
"299","Otu00019","MI_017_H",0
"300","Otu00020","MI_017_H",209
"301","Otu00001","MI_018_H",133
"302","Otu00002","MI_018_H",1213
"303","Otu00003","MI_018_H",554
"304","Otu00004","MI_018_H",989
"305","Otu00005","MI_018_H",121
"306","Otu00006","MI_018_H",1
"307","Otu00007","MI_018_H",3
"308","Otu00008","MI_018_H",152
"309","Otu00009","MI_018_H",358
"310","Otu00010","MI_018_H",0
"311","Otu00011","MI_018_H",17
"312","Otu00012","MI_018_H",334
"313","Otu00013","MI_018_H",70
"314","Otu00014","MI_018_H",212
"315","Otu00015","MI_018_H",4
"316","Otu00016","MI_018_H",118
"317","Otu00017","MI_018_H",200
"318","Otu00018","MI_018_H",141
"319","Otu00019","MI_018_H",107
"320","Otu00020","MI_018_H",41
"321","Otu00001","MI_019_H",59
"322","Otu00002","MI_019_H",81
"323","Otu00003","MI_019_H",998
"324","Otu00004","MI_019_H",46
"325","Otu00005","MI_019_H",41
"326","Otu00006","MI_019_H",660
"327","Otu00007","MI_019_H",176
"328","Otu00008","MI_019_H",1428
"329","Otu00009","MI_019_H",1234
"330","Otu00010","MI_019_H",0
"331","Otu00011","MI_019_H",696
"332","Otu00012","MI_019_H",56
"333","Otu00013","MI_019_H",23
"334","Otu00014","MI_019_H",63
"335","Otu00015","MI_019_H",0
"336","Otu00016","MI_019_H",156
"337","Otu00017","MI_019_H",83
"338","Otu00018","MI_019_H",410
"339","Otu00019","MI_019_H",0
"340","Otu00020","MI_019_H",92
"341","Otu00001","MI_020_H",0
"342","Otu00002","MI_020_H",0
"343","Otu00003","MI_020_H",4889
"344","Otu00004","MI_020_H",82
"345","Otu00005","MI_020_H",356
"346","Otu00006","MI_020_H",28
"347","Otu00007","MI_020_H",11
"348","Otu00008","MI_020_H",183
"349","Otu00009","MI_020_H",47
"350","Otu00010","MI_020_H",333
"351","Otu00011","MI_020_H",12
"352","Otu00012","MI_020_H",197
"353","Otu00013","MI_020_H",36
"354","Otu00014","MI_020_H",87
"355","Otu00015","MI_020_H",0
"356","Otu00016","MI_020_H",537
"357","Otu00017","MI_020_H",0
"358","Otu00018","MI_020_H",0
"359","Otu00019","MI_020_H",0
"360","Otu00020","MI_020_H",32
"361","Otu00001","MI_021_H",238
"362","Otu00002","MI_021_H",475
"363","Otu00003","MI_021_H",114
"364","Otu00004","MI_021_H",35
"365","Otu00005","MI_021_H",108
"366","Otu00006","MI_021_H",658
"367","Otu00007","MI_021_H",483
"368","Otu00008","MI_021_H",997
"369","Otu00009","MI_021_H",0
"370","Otu00010","MI_021_H",10
"371","Otu00011","MI_021_H",715
"372","Otu00012","MI_021_H",361
"373","Otu00013","MI_021_H",44
"374","Otu00014","MI_021_H",204
"375","Otu00015","MI_021_H",226
"376","Otu00016","MI_021_H",37
"377","Otu00017","MI_021_H",56
"378","Otu00018","MI_021_H",376
"379","Otu00019","MI_021_H",85
"380","Otu00020","MI_021_H",1
